Content Type,Genre,Original Content,Transformed Content
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The series included scenes of intense emotional conflict.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The movie focused on the characters' emotional journey.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The movie included explicit sexual content.,The movie focused on the characters' emotional journey.
adult,Drama,The movie included explicit sexual content.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The novel included emotional details of their relationship.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The book described a complicated friendship.
adult,Drama,The book described an affair in detail.,The novel included emotional details of their relationship.
adult,Drama,The novel included graphic details of their relationship.,The series included scenes of intense emotional conflict.
adult,Drama,The novel included graphic details of their relationship.,The movie focused on the characters' emotional journey.
adult,Drama,The series included scenes of sexual violence.,The book described a complicated friendship.
adult,Drama,The series included scenes of sexual violence.,The novel included emotional details of their relationship.
